radius1,smoothness1
17.99,0.1184
20.57,0.08474
19.69,0.1096
11.42,0.1425
20.29,0.1003
12.45,0.1278
18.25,0.09463
13.71,0.1189
13.0,0.1273
12.46,0.1186
16.02,0.08206
15.78,0.0971
19.17,0.0974
15.85,0.08401
13.73,0.1131
14.54,0.1139
14.68,0.09867
16.13,0.117
19.81,0.09831
13.54,0.09779
13.08,0.1075
9.504,0.1024
15.34,0.1073
21.16,0.09428
16.65,0.1121
17.14,0.1186
14.58,0.1054
18.61,0.0944
15.3,0.1082
17.57,0.09847
18.63,0.1064
11.84,0.1109
17.02,0.1197
19.27,0.09401
16.13,0.104
16.74,0.0961
14.25,0.09823
13.03,0.08983
14.99,0.09387
13.48,0.1016
13.44,0.08162
10.95,0.1227
19.07,0.09081
13.28,0.1041
13.17,0.09714
18.65,0.1099
8.196,0.086
13.17,0.1158
12.05,0.1031
13.49,0.08752
11.76,0.08637
13.64,0.07685
11.94,0.08261
18.22,0.1148
15.1,0.09056
11.52,0.09524
19.21,0.1053
14.71,0.1137
13.05,0.0806
8.618,0.09752
10.17,0.1134
8.598,0.1243
14.25,0.1049
9.173,0.07721
12.68,0.1122
14.78,0.1172
9.465,0.1044
11.31,0.08139
9.029,0.1066
12.78,0.09831
18.94,0.09009
8.888,0.09783
17.2,0.1071
13.8,0.1007
12.31,0.09172
16.07,0.09168
13.53,0.1291
18.05,0.1065
20.18,0.1286
12.86,0.09934
11.45,0.1102
13.34,0.1078
25.22,0.1063
19.1,0.1215
12.0,0.09723
18.46,0.09874
14.48,0.09444
19.02,0.09029
12.36,0.08772
14.64,0.1132
14.62,0.08974
15.37,0.092
13.27,0.07355
13.45,0.1022
15.06,0.1039
20.26,0.09078
12.18,0.1045
9.787,0.1024
11.6,0.08983
14.42,0.09752
13.61,0.09488
6.981,0.117
12.18,0.08013
9.876,0.1005
10.49,0.09989
13.11,0.1398
11.64,0.1142
12.36,0.08477
22.27,0.1326
11.34,0.08759
9.777,0.1037
12.63,0.09933
14.26,0.07837
10.51,0.1122
8.726,0.115
11.93,0.09768
8.95,0.09462
14.87,0.1162
15.78,0.1155
17.95,0.08402
11.41,0.09373
18.66,0.1054
24.25,0.1447
14.5,0.1101
13.37,0.07115
13.85,0.08785
13.61,0.09258
19.0,0.08217
15.1,0.115
19.79,0.1015
12.19,0.1066
15.46,0.1092
16.16,0.1008
15.71,0.09462
18.45,0.0943
12.77,0.09055
11.71,0.1051
11.43,0.09639
14.95,0.1167
11.28,0.1164
9.738,0.0925
16.11,0.09721
11.43,0.1092
12.9,0.08677
10.75,0.07793
11.9,0.1152
11.8,0.1091
14.95,0.08138
14.44,0.0997
13.74,0.07944
13.0,0.1135
8.219,0.09405
9.731,0.1072
11.15,0.09754
13.15,0.09384
12.25,0.08654
17.68,0.1115
16.84,0.07445
12.06,0.09311
10.9,0.07515
11.75,0.1089
19.19,0.08694
19.59,0.112
12.34,0.1012
23.27,0.08439
14.97,0.08421
10.8,0.09594
16.78,0.08865
17.47,0.1049
14.97,0.09855
12.32,0.1028
13.43,0.09048
15.46,0.1257
11.08,0.1006
10.66,0.08792
8.671,0.09138
9.904,0.09699
16.46,0.09831
13.01,0.06251
12.81,0.08739
27.22,0.1094
21.09,0.1141
15.7,0.09597
11.41,0.09059
15.28,0.09057
10.08,0.09267
18.31,0.08588
11.71,0.09774
11.81,0.1007
12.3,0.0808
14.22,0.1075
12.77,0.08749
9.72,0.0695
12.34,0.1034
14.86,0.1044
12.91,0.07941
13.77,0.12
18.08,0.07371
19.18,0.08523
14.45,0.09872
12.23,0.09586
17.54,0.08968
23.29,0.1141
13.81,0.1323
12.47,0.09965
15.12,0.08876
9.876,0.1089
17.01,0.08772
13.11,0.1002
15.27,0.08182
20.58,0.0909
11.84,0.08871
28.11,0.1142
17.42,0.1006
14.19,0.09463
13.86,0.1026
11.89,0.09363
10.2,0.08054
19.8,0.09383
19.53,0.0842
13.65,0.09646
13.56,0.1051
10.18,0.1061
15.75,0.1025
13.27,0.08445
14.34,0.09906
10.44,0.1053
15.0,0.08371
12.62,0.07903
12.83,0.1088
17.05,0.1141
11.32,0.06883
11.22,0.0778
20.51,0.09159
9.567,0.08464
14.03,0.0907
23.21,0.09509
20.48,0.08355
14.22,0.08223
17.46,0.09812
13.64,0.09423
12.42,0.07926
11.3,0.09592
13.75,0.08043
19.4,0.1027
10.48,0.107
13.2,0.07215
12.89,0.0876
10.65,0.09657
11.52,0.1013
20.94,0.1007
11.5,0.09345
19.73,0.1062
17.3,0.1008
19.45,0.1035
13.96,0.1096
19.55,0.0926
15.32,0.1335
15.66,0.1109
15.53,0.1063
20.31,0.1
17.35,0.08662
17.29,0.08999
15.61,0.0784
17.19,0.09726
20.73,0.09469
10.6,0.09688
13.59,0.07956
12.87,0.09425
10.71,0.1082
14.29,0.06429
11.29,0.09834
21.75,0.09401
9.742,0.09037
17.93,0.08855
11.89,0.1225
11.33,0.09379
18.81,0.08923
13.59,0.07948
13.85,0.09516
19.16,0.102
11.74,0.07813
19.4,0.1037
16.24,0.1066
12.89,0.07818
12.58,0.08393
11.94,0.08605
12.89,0.06955
11.26,0.0802
11.37,0.08713
14.41,0.08757
14.96,0.08992
12.95,0.1005
11.85,0.08372
12.72,0.09667
13.77,0.09198
10.91,0.08518
11.76,0.09968
14.26,0.06576
10.51,0.1015
19.53,0.115
12.46,0.08451
20.09,0.108
10.49,0.1068
11.46,0.08853
11.6,0.07474
13.2,0.08511
9.0,0.07005
13.5,0.07376
13.05,0.08352
11.7,0.08814
14.61,0.07618
12.76,0.08794
11.54,0.08597
8.597,0.1074
12.49,0.08511
12.18,0.07734
18.22,0.09746
9.042,0.09968
12.43,0.07557
10.25,0.1061
20.16,0.0802
12.86,0.1134
20.34,0.117
12.2,0.08673
12.67,0.1028
14.11,0.09309
12.03,0.07683
16.27,0.1169
16.26,0.1165
16.03,0.09491
12.98,0.09579
11.22,0.1054
11.25,0.08306
12.3,0.08313
17.06,0.1119
12.99,0.09462
18.77,0.09116
10.05,0.1007
23.51,0.1069
14.42,0.09751
9.606,0.08481
11.06,0.1033
19.68,0.09797
11.71,0.115
10.26,0.09882
12.06,0.08386
14.76,0.08875
11.47,0.09076
11.95,0.1158
11.66,0.07561
15.75,0.1243
25.73,0.1149
15.08,0.1024
11.14,0.07274
12.56,0.0876
13.05,0.1082
13.87,0.08743
8.878,0.08293
9.436,0.1009
12.54,0.07436
13.3,0.08582
12.76,0.09676
16.5,0.09686
13.4,0.07937
20.44,0.0915
20.2,0.09905
12.21,0.09231
21.71,0.09384
22.01,0.1063
16.35,0.09742
15.19,0.07963
21.37,0.1001
20.64,0.09446
13.69,0.08302
16.17,0.0988
10.57,0.09073
13.46,0.07517
13.66,0.08268
11.08,0.1216
11.27,0.1237
11.04,0.07987
12.05,0.06935
12.39,0.1042
13.28,0.08363
14.6,0.08682
12.21,0.08108
13.88,0.07026
11.27,0.08365
19.55,0.101
10.26,0.09996
8.734,0.1039
15.49,0.116
21.61,0.1167
12.1,0.1029
14.06,0.08045
13.51,0.1059
12.8,0.08044
11.06,0.07741
11.8,0.09087
17.91,0.123
11.93,0.08872
12.96,0.07351
12.94,0.09879
12.34,0.08682
10.94,0.1004
16.14,0.09495
12.85,0.07551
17.99,0.1036
12.27,0.08685
11.36,0.08858
11.04,0.1077
9.397,0.07969
14.99,0.08515
15.13,0.0832
11.89,0.09773
9.405,0.1044
15.5,0.112
12.7,0.08785
11.16,0.1018
11.57,0.08546
14.69,0.1031
11.61,0.1088
13.66,0.09057
9.742,0.1075
10.03,0.08117
10.48,0.09816
10.8,0.08801
11.13,0.08151
12.72,0.07896
14.9,0.09947
12.4,0.1054
20.18,0.1133
18.82,0.1018
14.86,0.08924
13.98,0.106
12.87,0.09136
14.04,0.08458
13.85,0.08684
14.02,0.07966
10.97,0.08915
17.27,0.08331
13.78,0.08817
10.57,0.08142
18.03,0.08947
11.99,0.103
17.75,0.09997
14.8,0.09179
14.53,0.08388
21.1,0.09684
11.87,0.06613
19.59,0.1032
12.0,0.08437
14.53,0.1099
12.62,0.08583
13.38,0.09245
11.63,0.09357
13.21,0.08791
13.0,0.08369
9.755,0.07984
17.08,0.09898
27.42,0.1084
14.4,0.06995
11.6,0.08508
13.17,0.07466
13.24,0.08284
13.14,0.08675
9.668,0.08311
17.6,0.09289
11.62,0.1175
9.667,0.08946
12.04,0.08752
14.92,0.08098
12.27,0.07699
